"funding_round_uuid","investor_uuid","investor_name"
"25420f33-d0f6-f4c3-b4f2-cfc6b55f2a0d","b51ff078-c9d9-9f51-681d-4f9ac888e070","Highland Capital Partners"
"25420f33-d0f6-f4c3-b4f2-cfc6b55f2a0d","b08efc27-da40-505a-6f9d-c9e14247bf36","Accel"
"25420f33-d0f6-f4c3-b4f2-cfc6b55f2a0d","65ee9a90-bb84-32ca-bb0c-59020fae9a20","DAG Ventures"
"1adc7d2a-779f-1db8-df37-9d21e7341116","8ca0a6a5-15ba-2e62-3d45-eac4cb4d41de","Sigma Partners"
"5dce4bca-8289-412e-711b-3d86396dda9d","5022e858-08de-d74f-8958-abc045e70b67","Garage Technology Ventures"
"5dce4bca-8289-412e-711b-3d86396dda9d","f5315b3c-bb4c-1828-9b81-2f2103cdb761","RRE Ventures"
"5dce4bca-8289-412e-711b-3d86396dda9d","1b1c8773-e177-46aa-d51e-b83495340feb","Cardinal Venture Capital"
"5dce4bca-8289-412e-711b-3d86396dda9d","10ec4f9f-53c8-8154-89e3-3b7697e51538","Constantin Partners"
"c1723acb-7910-bcd9-9111-0869237b8d01","e9b9f4db-721a-d30f-bbfc-ebc5aa381456","VantagePoint Capital Partners"
"2a55d435-c343-3d8f-9035-26c050c19361","01a1fa1f-c36c-91c2-3572-1b8c51796a7b","Wellington Partners"
"2a55d435-c343-3d8f-9035-26c050c19361","fe2d1e8b-f607-3c9f-fad7-98fb8412f77e","Benchmark"
"2a55d435-c343-3d8f-9035-26c050c19361","beadb218-e5fa-2686-bc95-4dfaa9acc2e8","Bessemer Venture Partners"
"c632255d-67e1-0dd8-36ea-9e604fd37f57","26bcf130-4aa8-a3b3-3571-1b8f13143370","Canaan Partners"
"66aeb06f-3f88-c86a-6705-9324d4b7172b","1baa1126-07f2-3e36-8e9f-aea00bcea7de","Impact Venture Partners"
"66aeb06f-3f88-c86a-6705-9324d4b7172b","fe2d1e8b-f607-3c9f-fad7-98fb8412f77e","Benchmark"
"d09ee5fc-c061-d97a-9a50-35b91e0c25d3","ca5741be-4bae-88ec-8738-e8d620484666","Azure Capital Partners"
"431d0df3-cefd-029f-634b-83d9ab77d3fa","30bcdd65-41ce-122b-8ef3-52a187ed4bf9","3i Group"
"431d0df3-cefd-029f-634b-83d9ab77d3fa","62426ec0-be52-3f79-8adb-405de209755d","Headline"
"4cedb207-a1e9-4c6e-f456-5212bd6b8ff9","d0cdfdc0-517d-ce18-4a74-194f506bccad","Balderton Capital"
"4cedb207-a1e9-4c6e-f456-5212bd6b8ff9","b484f2d9-01f6-35c2-5d59-31f6146f8b40","Arts Alliance"
"63252104-0f9d-c01f-d294-156a72bf1cf7","db38f2b8-4029-a4fc-44ea-9d5fed58e648","Tim Connors"
"63252104-0f9d-c01f-d294-156a72bf1cf7","38990485-1cb2-5349-802a-b4e4bdad8849","Sand Hill Capital"
"63252104-0f9d-c01f-d294-156a72bf1cf7","f908683c-5630-9ceb-e947-de13d2a04d3f","Gannett"
"63252104-0f9d-c01f-d294-156a72bf1cf7","99e2ef4b-bb36-0a9a-911d-bb75b1b45275","Daniel Ehrman"
"63252104-0f9d-c01f-d294-156a72bf1cf7","a2b35e8b-e3e9-883b-8a07-38e6ef57d726","U.S. Venture Partners"
"63252104-0f9d-c01f-d294-156a72bf1cf7","eb9ce478-e454-486d-9d1e-a4c53e655bdb","Threshold"
"383e4442-ce31-89bb-1a4f-b9237131362f","b08efc27-da40-505a-6f9d-c9e14247bf36","Accel"
"383e4442-ce31-89bb-1a4f-b9237131362f","937250dd-a973-7ca8-a288-3f607f38fe8c","Fairhaven Capital Partners"
"7f0b9504-f2b5-417d-87ce-2900cce55578","1136a450-8a97-40f4-d9c8-e8ffeb529de3","Allen & Company"
"357a3e88-3ac2-5b4a-4759-8b1a1d5f6596","b5d0d7dd-cfc2-4c56-9ed4-847db73f8cee","Union Square Ventures"
"357a3e88-3ac2-5b4a-4759-8b1a1d5f6596","86742bac-1934-8ad1-2190-3a1cca668505","FirstMark"
